"Symbol","Description","Date","Time","Open","High","Low","Close","TotalVolume"
AAPL,NASDAQ,16.10.2020,16:13:00,119.032,119.032,118.72,118.8,39694
AAPL,NASDAQ,16.10.2020,08:35:00,122,122.11,121.98,121.98,28905
AAPL,NASDAQ,19.10.2020,15:55:00,116.025,116.05,115.66,115.7,937951
AAPL,NASDAQ,19.10.2020,08:01:00,120.05,120.5,119.9,120.06,270763
AAPL,NASDAQ,20.10.2020,09:38:00,115.88,116.055,115.63,115.93,740149
AAPL,NASDAQ,20.10.2020,13:39:00,118.917,118.98,118.87,118.9,425931
AAPL,NASDAQ,21.10.2020,09:31:00,116.63,117.21,116.45,117.02,2315266
AAPL,NASDAQ,21.10.2020,10:47:00,118.581,118.705,118.581,118.652,197791
AAPL,NASDAQ,22.10.2020,10:45:00,115.2,115.2,114.59,114.907,1381215
AAPL,NASDAQ,22.10.2020,09:32:00,117.795,118.04,117.75,117.805,506622
AAPL,NASDAQ,23.10.2020,11:48:00,114.35,114.41,114.28,114.35,283698
AAPL,NASDAQ,23.10.2020,09:31:00,116.38,116.55,116.23,116.506,1272686
AAPL,NASDAQ,26.10.2020,13:34:00,113.12,113.12,112.88,112.992,739794
AAPL,NASDAQ,26.10.2020,10:21:00,116.342,116.55,116.34,116.437,481898
AAPL,NASDAQ,27.10.2020,09:35:00,114.69,114.89,114.54,114.747,518894
AAPL,NASDAQ,27.10.2020,12:21:00,117.06,117.28,117.05,117.17,534612
AAPL,NASDAQ,28.10.2020,16:00:00,111.43,111.51,111.1,111.15,2957672
AAPL,NASDAQ,28.10.2020,08:02:00,115.2,116.89,115.14,115.15,10502
AAPL,NASDAQ,29.10.2020,18:01:00,109.29,109.36,108.59,109.3,138133
AAPL,NASDAQ,29.10.2020,14:35:00,116.73,116.93,116.71,116.91,401364
AAPL,NASDAQ,30.10.2020,15:10:00,107.83,107.91,107.72,107.828,452523
AAPL,NASDAQ,30.10.2020,09:34:00,111.63,111.99,111.43,111.65,1082892
AAPL,NASDAQ,02.11.2020,13:59:00,107.464,107.464,107.32,107.35,231933
AAPL,NASDAQ,02.11.2020,09:33:00,109.56,110.68,109.54,110.56,1411787
AAPL,NASDAQ,03.11.2020,09:35:00,108.9,109.08,108.73,109.04,465347
AAPL,NASDAQ,03.11.2020,15:41:00,111.12,111.49,111.12,111.352,752554
AAPL,NASDAQ,04.11.2020,09:38:00,112.98,113.035,112.35,112.466,750855
AAPL,NASDAQ,04.11.2020,16:51:00,115.9,116,115.88,116,16969
AAPL,NASDAQ,05.11.2020,08:01:00,117.98,118.29,115.23,118.178,306535
AAPL,NASDAQ,05.11.2020,09:51:00,119.32,119.62,119.32,119.56,847684
AAPL,NASDAQ,06.11.2020,09:59:00,116.17,116.38,116.13,116.32,399061
AAPL,NASDAQ,06.11.2020,13:17:00,119.135,119.2,119.12,119.198,135513
AAPL,NASDAQ,09.11.2020,16:01:00,116.32,116.51,116.03,116.32,9061777
AAPL,NASDAQ,09.11.2020,10:33:00,121.9,121.99,121.83,121.908,432055
AAPL,NASDAQ,10.11.2020,10:43:00,114.505,114.505,114.13,114.3,450860
AAPL,NASDAQ,10.11.2020,09:36:00,117.35,117.59,116.53,116.58,1058493
AAPL,NASDAQ,11.11.2020,09:34:00,116.74,116.77,116.44,116.75,460536
AAPL,NASDAQ,11.11.2020,17:31:00,120.07,120.07,119.96,120,21723
AAPL,NASDAQ,12.11.2020,13:50:00,118.73,118.766,118.57,118.62,272159
AAPL,NASDAQ,12.11.2020,10:42:00,120.33,120.53,120.28,120.466,621943
AAPL,NASDAQ,13.11.2020,10:58:00,118,118.014,117.87,117.94,335159
AAPL,NASDAQ,13.11.2020,08:01:00,119.82,119.97,119.64,119.71,136958
AAPL,NASDAQ,16.11.2020,09:33:00,118.265,118.52,118.146,118.42,604645
AAPL,NASDAQ,16.11.2020,12:07:00,120.93,120.99,120.9,120.92,247589
AAPL,NASDAQ,17.11.2020,09:53:00,119.125,119.2,118.96,119.18,629458
AAPL,NASDAQ,17.11.2020,13:09:00,120.665,120.674,120.51,120.535,180496
AAPL,NASDAQ,18.11.2020,16:37:00,117.79,117.82,117.72,117.82,27515
AAPL,NASDAQ,18.11.2020,12:03:00,119.731,119.82,119.69,119.713,246143
AAPL,NASDAQ,19.11.2020,09:35:00,117.24,117.38,116.81,117.085,1050739
AAPL,NASDAQ,19.11.2020,15:36:00,118.805,119.05,118.77,118.945,430676
AAPL,NASDAQ,20.11.2020,18:05:00,117,117,116.91,116.99,4867
AAPL,NASDAQ,20.11.2020,08:01:00,118.95,118.97,118.59,118.84,63930
AAPL,NASDAQ,23.11.2020,15:58:00,113.77,113.91,113.75,113.865,737547
AAPL,NASDAQ,23.11.2020,08:01:00,117.47,117.65,117.46,117.57,47688
AAPL,NASDAQ,24.11.2020,09:48:00,112.815,112.86,112.59,112.705,747007
AAPL,NASDAQ,24.11.2020,14:02:00,115.74,115.85,115.69,115.825,229645
AAPL,NASDAQ,25.11.2020,08:31:00,114.98,115.04,114.9,115.01,27337
AAPL,NASDAQ,25.11.2020,11:03:00,116.685,116.75,116.68,116.745,205827
AAPL,NASDAQ,27.11.2020,12:54:00,116.29,116.29,116.22,116.26,239516
AAPL,NASDAQ,27.11.2020,10:34:00,117.43,117.49,117.34,117.366,273379
AAPL,NASDAQ,30.11.2020,08:18:00,116.97,116.97,116.61,116.82,54501
AAPL,NASDAQ,30.11.2020,15:11:00,120.813,120.97,120.813,120.935,277304
AAPL,NASDAQ,01.12.2020,09:37:00,120.32,120.34,120.01,120.2,597261
AAPL,NASDAQ,01.12.2020,12:14:00,123.38,123.469,123.37,123.415,310614
AAPL,NASDAQ,02.12.2020,09:46:00,121.215,121.28,120.89,121,811725
AAPL,NASDAQ,02.12.2020,13:24:00,123.24,123.37,123.24,123.334,285137
AAPL,NASDAQ,03.12.2020,11:12:00,122.27,122.36,122.21,122.26,263626
AAPL,NASDAQ,03.12.2020,08:01:00,123.83,123.88,123.41,123.7,115171
AAPL,NASDAQ,04.12.2020,10:30:00,121.615,121.652,121.52,121.536,276384
AAPL,NASDAQ,04.12.2020,08:01:00,123.269,123.28,122.896,122.97,58163
AAPL,NASDAQ,07.12.2020,08:01:00,122.13,122.42,121.966,122.15,109688
AAPL,NASDAQ,07.12.2020,10:01:00,124.44,124.57,124.43,124.51,537235
AAPL,NASDAQ,08.12.2020,08:01:00,123.339,123.46,123,123.46,79788
AAPL,NASDAQ,08.12.2020,15:01:00,124.96,124.98,124.92,124.928,216116
AAPL,NASDAQ,09.12.2020,17:57:00,121.07,121.07,120.9,120.92,46231
AAPL,NASDAQ,09.12.2020,10:00:00,125.83,125.95,125.82,125.86,324673
AAPL,NASDAQ,10.12.2020,09:16:00,120.03,120.08,120.01,120.08,20773
AAPL,NASDAQ,10.12.2020,11:32:00,123.75,123.87,123.75,123.805,128871
AAPL,NASDAQ,11.12.2020,12:24:00,120.59,120.7,120.55,120.675,294112
AAPL,NASDAQ,11.12.2020,08:01:00,122.48,122.94,122.01,122.45,59215
AAPL,NASDAQ,14.12.2020,16:00:00,122.01,122.04,121.54,121.77,1450497
AAPL,NASDAQ,14.12.2020,09:32:00,123.04,123.35,122.96,122.982,472028
AAPL,NASDAQ,15.12.2020,08:01:00,123.14,124.07,122.88,123.88,174915
AAPL,NASDAQ,15.12.2020,16:14:00,127.87,128,127.87,128,52696
AAPL,NASDAQ,16.12.2020,09:40:00,126.717,126.835,126.56,126.8,519756
AAPL,NASDAQ,16.12.2020,15:41:00,128.279,128.37,128.276,128.318,297710
AAPL,NASDAQ,17.12.2020,08:01:00,128.4,128.52,127.59,128.46,73450
AAPL,NASDAQ,17.12.2020,09:40:00,129.44,129.58,129.21,129.545,703617
AAPL,NASDAQ,18.12.2020,15:23:00,126.185,126.21,126.12,126.142,279525
AAPL,NASDAQ,18.12.2020,09:13:00,129.31,129.35,129.29,129.29,18244
AAPL,NASDAQ,21.12.2020,10:47:00,123.71,123.715,123.449,123.59,437016
AAPL,NASDAQ,21.12.2020,17:21:00,131.76,132,131.76,131.92,97236
AAPL,NASDAQ,22.12.2020,11:38:00,129.99,130,129.65,129.85,754381
AAPL,NASDAQ,22.12.2020,10:08:00,134.015,134.405,133.98,134.381,1094647
AAPL,NASDAQ,23.12.2020,09:36:00,130.91,131.37,130.78,131.345,693930
AAPL,NASDAQ,23.12.2020,08:37:00,132.47,132.59,132.47,132.58,25643
AAPL,NASDAQ,24.12.2020,08:01:00,131.05,131.1,130.9,131.05,69278
AAPL,NASDAQ,24.12.2020,10:35:00,133.24,133.46,133.24,133.339,537720
AAPL,NASDAQ,28.12.2020,08:01:00,133.18,133.69,132.915,133.63,258535
AAPL,NASDAQ,28.12.2020,15:21:00,137.29,137.34,137.21,137.21,487593
AAPL,NASDAQ,29.12.2020,15:54:00,134.443,134.5,134.341,134.469,339594
AAPL,NASDAQ,29.12.2020,09:36:00,138.422,138.789,138.41,138.548,1053828
AAPL,NASDAQ,30.12.2020,15:21:00,133.51,133.54,133.4,133.53,570668
AAPL,NASDAQ,30.12.2020,09:34:00,135.83,135.99,135.544,135.58,642883
AAPL,NASDAQ,31.12.2020,12:01:00,131.96,132.04,131.72,131.875,702190
AAPL,NASDAQ,31.12.2020,09:34:00,134.326,134.74,134.29,134.61,510770
AAPL,NASDAQ,04.01.2021,12:16:00,127.41,127.41,126.76,127.21,845148
AAPL,NASDAQ,04.01.2021,08:07:00,134.01,134.1,134,134.05,47486
AAPL,NASDAQ,05.01.2021,09:01:00,128.4,128.43,128.31,128.39,14411
AAPL,NASDAQ,05.01.2021,10:14:00,131.67,131.74,131.571,131.63,332620
AAPL,NASDAQ,06.01.2021,16:02:00,126.38,126.6,126.31,126.37,20585
AAPL,NASDAQ,06.01.2021,11:22:00,130.885,131.05,130.86,130.87,724808
AAPL,NASDAQ,07.01.2021,09:50:00,127.98,128.02,127.86,127.999,397927
AAPL,NASDAQ,07.01.2021,15:50:00,131.48,131.63,131.44,131.48,616064
AAPL,NASDAQ,08.01.2021,13:45:00,130.387,130.59,130.23,130.557,363648
AAPL,NASDAQ,08.01.2021,08:01:00,132.15,132.85,132.01,132.29,196856
AAPL,NASDAQ,11.01.2021,09:31:00,129.16,129.5,128.5,128.91,3131063
AAPL,NASDAQ,11.01.2021,08:01:00,131.14,131.43,130.25,130.55,198928
AAPL,NASDAQ,12.01.2021,12:17:00,126.96,127.21,126.86,126.94,475276
AAPL,NASDAQ,12.01.2021,08:01:00,129.428,129.95,129.3,129.69,142469
AAPL,NASDAQ,13.01.2021,08:11:00,128.41,128.56,128.29,128.5,21351
AAPL,NASDAQ,13.01.2021,11:48:00,131.42,131.45,131.32,131.34,222823
AAPL,NASDAQ,14.01.2021,15:55:00,128.89,129,128.76,128.83,511709
AAPL,NASDAQ,14.01.2021,08:49:00,130.93,131.16,130.93,131.11,20993
AAPL,NASDAQ,15.01.2021,16:58:00,126.95,127,126.9,126.96,4525
AAPL,NASDAQ,15.01.2021,09:34:00,130.065,130.224,129.88,129.98,563203
AAPL,NASDAQ,19.01.2021,10:03:00,127.08,127.13,126.938,126.981,689994
AAPL,NASDAQ,19.01.2021,08:01:00,128.36,128.9,128.2,128.24,96599
AAPL,NASDAQ,20.01.2021,08:01:00,128.74,128.75,128.45,128.71,79127
AAPL,NASDAQ,20.01.2021,14:47:00,132.425,132.49,132.41,132.415,160741
AAPL,NASDAQ,21.01.2021,08:55:00,133.64,133.7,133.5,133.7,22838
AAPL,NASDAQ,21.01.2021,15:56:00,136.89,139.67,136.87,136.985,634691
AAPL,NASDAQ,22.01.2021,09:34:00,135.24,135.52,135.02,135.49,660759
AAPL,NASDAQ,22.01.2021,18:04:00,139.98,140,139.96,139.98,13814
AAPL,NASDAQ,25.01.2021,11:09:00,137.7,137.96,136.54,137.74,1265051
